Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;84405900-0;PRODUCTOS FARMACEUTICOS HEEL CHILE LTDA.;4363;17-04-2023;17-04-2023 12:35;;;0;1177192;223666;1400858;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;
2;33;Del Giro;76237266-5;LABORATORIOS ANDRÓMACO S.A.;4364;17-04-2023;17-04-2023 17:55;20-04-2023 2:32;;0;4109659;780835;4890494;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;
3;33;Del Giro;96884770-8;ITF-LABOMED FARMACÉUTICA LTDA.;4365;18-04-2023;18-04-2023 12:08;26-04-2023 14:53;;0;2531180;480924;3012104;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;0;;;;
4;33;Del Giro;76383221-K;EXELTIS CHILE SPA;4366;18-04-2023;18-04-2023 12:42;24-04-2023 10:37;;0;1517586;288341;1805927;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;0;;;;
5;33;Del Giro;76383221-K;EXELTIS CHILE SPA;4367;18-04-2023;18-04-2023 13:00;24-04-2023 10:37;;0;1346181;255774;1601955;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;0;;;;
6;33;Del Giro;99590850-6;GENOMMA LAB CHILE S.A.;4368;18-04-2023;18-04-2023 13:02;;;0;935070;177663;1112733;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;0;;;;
7;33;Del Giro;88466300-8;TECNOFARMA S.A.;4369;18-04-2023;18-04-2023 13:05;19-04-2023 9:42;;0;3600061;684012;4284073;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;
8;33;Del Giro;96884770-8;ITF-LABOMED FARMACÉUTICA LTDA.;4370;18-04-2023;18-04-2023 13:16;26-04-2023 14:53;;0;1780206;338239;2118445;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;
9;33;Del Giro;99522620-0;LABORATORIO DYM PHARMA LTDA.;4371;18-04-2023;18-04-2023 14:21;19-04-2023 12:07;;0;1327688;252261;1579949;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;0;;;;
10;33;Del Giro;87674400-7;LABORATORIO PASTEUR S.A.;4372;19-04-2023;19-04-2023 16:14;;;0;1683502;319865;2003367;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;
11;33;Del Giro;94544000-7;MEGALABS CHILE S.A.;4373;19-04-2023;19-04-2023 16:36;21-04-2023 9:23;;0;1431414;271969;1703383;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;0;;;;
12;33;Del Giro;94544000-7;MEGALABS CHILE S.A.;4374;19-04-2023;19-04-2023 16:38;21-04-2023 9:21;;0;3917303;744288;4661591;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;0;;;;
13;33;Del Giro;77661420-3;LUNDBECK CHILE FARMACÉUTICA LTDA.;4375;19-04-2023;19-04-2023 16:41;24-04-2023 14:55;;0;1251692;237821;1489513;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;0;;;;
14;33;Del Giro;76754308-5;DR. REDDYS LABORATORIES CHILE SPA;4376;19-04-2023;19-04-2023 16:56;26-04-2023 22:35;;0;508947;96700;605647;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;0;;;;
15;33;Del Giro;76754308-5;DR. REDDYS LABORATORIES CHILE SPA;4377;19-04-2023;19-04-2023 17:14;26-04-2023 22:35;;0;254474;48350;302824;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;0;;;;
16;33;Del Giro;77781470-2;DROGUERIA FARMOQUIMICA DEL PACIFICO LTDA.;4378;19-04-2023;19-04-2023 17:41;;;0;1421367;270060;1691427;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;0;;;;
17;33;Del Giro;93135000-5;LABORATORIOS BAGÓ S.A.;4379;19-04-2023;19-04-2023 18:02;20-04-2023 8:05;;0;1988075;377734;2365809;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;0;;;;
18;33;Del Giro;99522620-0;LABORATORIO DYM PHARMA LTDA.;4380;19-04-2023;19-04-2023 18:12;21-04-2023 11:17;;0;1462428;277861;1740289;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;0;;;;
19;33;Del Giro;99522620-0;LABORATORIO DYM PHARMA LTDA.;4381;19-04-2023;19-04-2023 18:16;21-04-2023 11:17;;0;2737977;520216;3258193;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;0;;;;
20;33;Del Giro;99522620-0;LABORATORIO DYM PHARMA LTDA.;4382;19-04-2023;19-04-2023 18:19;21-04-2023 11:17;;0;757059;143841;900900;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;0;;;;
21;33;Del Giro;99522620-0;LABORATORIO DYM PHARMA LTDA.;4383;19-04-2023;19-04-2023 18:21;21-04-2023 11:17;;0;1663621;316088;1979709;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;0;;;;
22;33;Del Giro;91537000-4;BAYER S.A.;4384;20-04-2023;20-04-2023 17:23;;;0;2063053;391980;2455033;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;
23;33;Del Giro;92121000-0;LABORATORIO MAVER S.A.;4385;24-04-2023;24-04-2023 16:18;26-04-2023 22:24;;0;2746531;521841;3268372;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;
24;33;Del Giro;77596940-7;LABORATORIO CHILE S.A.;4386;24-04-2023;24-04-2023 17:58;;;0;2107691;400461;2508152;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;
25;33;Del Giro;76212732-6;ABBVIE PRODUCTOS FARMACEUTICOS LTDA.;4387;24-04-2023;24-04-2023 18:02;;;0;885300;168207;1053507;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;0;;;;
26;33;Del Giro;76285229-2;GALENICUM HEALTH CHILE SPA;4388;26-04-2023;26-04-2023 11:42;;26-04-2023 13:49;0;3521583;669101;4190684;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;
27;33;Del Giro;76285229-2;GALENICUM HEALTH CHILE SPA;4389;26-04-2023;26-04-2023 11:57;;26-04-2023 13:50;0;891638;169411;1061049;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;
28;33;Del Giro;59043540-6;MERCK SHARP AMP DOHME ( I.A.) L L C;4390;26-04-2023;26-04-2023 14:52;;;0;32029200;6085548;38114748;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;
29;33;Del Giro;76285229-2;GALENICUM HEALTH CHILE SPA;4392;26-04-2023;26-04-2023 16:12;01-05-2023 14:38;;0;3566552;677645;4244197;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;
30;33;Del Giro;76285229-2;GALENICUM HEALTH CHILE SPA;4391;26-04-2023;26-04-2023 16:19;01-05-2023 14:38;;0;14086332;2676403;16762735;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;
31;33;Del Giro;91650000-9;LABORATORIOS SAVAL S.A.;4393;26-04-2023;26-04-2023 16:51;;;0;2020100;383819;2403919;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;
32;33;Del Giro;78786720-0;GALDERMA CHILE LABORATORIOS LTDA.;4394;26-04-2023;26-04-2023 17:05;;;0;8204112;1558781;9762893;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;
33;33;Del Giro;96981250-9;PFIZER CHILE S.A.;4395;26-04-2023;26-04-2023 19:35;;;0;35332229;6713124;42045353;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;
34;33;Del Giro;96981250-9;PFIZER CHILE S.A.;4396;26-04-2023;26-04-2023 19:40;;;0;22479743;4271151;26750894;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;
35;33;Del Giro;96981250-9;PFIZER CHILE S.A.;4397;27-04-2023;27-04-2023 20:17;;;0;6452640;1226002;7678642;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;
36;33;Del Giro;76084945-6;GADOR LTDA.;4398;28-04-2023;28-04-2023 18:15;;;0;3006038;571147;3577185;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;0;;;;
37;33;Del Giro;96656660-4;PROCTER  GAMBLE CHILE LTDA.;4399;28-04-2023;28-04-2023 18:30;;;0;1938256;368269;2306525;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;
38;61;Del Giro;76285229-2;GALENICUM HEALTH CHILE SPA;175;26-04-2023;26-04-2023 15:17;;;0;3521583;669101;4190684;0;0;0;0;0;-;0;0;0;0;33;4388;;;0;;0;0;0;0;0;;;;0;;;;
39;61;Del Giro;76285229-2;GALENICUM HEALTH CHILE SPA;176;26-04-2023;26-04-2023 15:24;;;0;891638;169411;1061049;0;0;0;0;0;-;0;0;0;0;33;4389;;;0;;0;0;0;0;0;;;;0;;;;
